City,Date,PM2.5,PM10,NO2,NH3,SO2,CO,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Region
Ahmedabad,2015-03-03,99.5,178.55,46.34,22.93,19.1,1.88,54.0,3.02,15.22,2.49,230.0,Poor,West
Ahmedabad,2015-03-04,93.4,188.47,40.29,,9.77,2.89,36.91,0.03,11.02,2.81,209.0,Poor,West
Ahmedabad,2015-03-05,69.7,127.01,36.04,17.53,10.61,0.96,16.51,0.97,,0.0,131.0,Moderate,West
Ahmedabad,2015-03-06,149.0,270.77,67.02,47.85,22.58,3.13,61.34,10.31,16.5,0.97,323.0,Very Poor,West
Ahmedabad,2015-03-07,86.4,128.55,29.31,11.24,8.36,1.51,36.82,1.57,10.02,1.97,188.0,Moderate,West
Ahmedabad,2015-03-08,120.3,133.63,23.61,13.2,21.62,1.69,19.39,3.47,21.24,1.61,500.0,Severe,West
Ahmedabad,2015-03-09,93.6,218.01,41.57,22.36,11.2,2.19,0.0,3.76,4.34,3.87,210.0,Poor,West
Ahmedabad,2015-03-10,125.5,284.85,,54.01,17.95,2.73,57.93,5.74,0.0,2.57,304.0,Very Poor,West
Ahmedabad,2015-03-11,87.7,189.43,40.79,21.01,9.43,1.57,54.55,0.0,22.35,4.05,192.0,Moderate,West
Ahmedabad,2015-03-12,101.1,225.65,41.08,22.91,12.15,1.73,46.48,2.19,11.14,1.92,235.0,Poor,West
Ahmedabad,2015-03-13,140.2,331.86,,46.64,22.86,4.03,69.38,,18.94,3.24,316.0,Very Poor,West
Ahmedabad,2015-03-14,139.1,207.15,58.45,,29.91,2.99,33.51,7.01,22.9,3.41,315.0,Very Poor,West
Ahmedabad,2015-03-15,98.8,141.15,26.29,12.31,16.86,2.45,16.74,4.68,,1.4,227.0,Poor,West
Ahmedabad,2015-03-16,110.0,221.07,24.94,23.34,8.0,1.11,29.08,3.74,4.45,2.69,266.0,Poor,West
Ahmedabad,2015-03-17,102.2,229.86,40.57,29.7,18.79,1.16,62.42,5.7,9.49,1.25,239.0,Poor,West
Ahmedabad,2015-03-18,115.7,,35.42,24.75,23.63,3.59,,3.69,11.56,2.55,285.0,Poor,West
Ahmedabad,2015-03-19,88.1,161.46,32.96,33.05,8.87,2.03,,6.2,10.8,1.82,194.0,Moderate,West
Ahmedabad,2015-03-20,81.5,143.98,34.13,17.76,11.5,2.07,21.67,3.43,12.92,0.17,171.0,Moderate,West
Ahmedabad,2015-03-21,101.4,213.74,40.02,16.81,15.09,1.57,42.01,3.76,17.31,1.96,237.0,Poor,West
Ahmedabad,2015-03-22,105.4,,38.64,16.01,18.88,2.07,32.69,4.55,16.35,4.59,250.0,Poor,West
Ahmedabad,2015-03-23,82.1,185.11,42.75,19.21,9.19,2.4,18.8,3.51,6.1,2.02,173.0,Moderate,West
Ahmedabad,2015-03-24,69.3,,15.96,29.97,4.96,1.89,17.41,0.0,8.38,3.81,129.0,Moderate,West
Ahmedabad,2015-03-25,82.0,213.48,51.38,13.33,4.67,1.35,42.38,0.27,10.82,2.06,173.0,Moderate,West
Ahmedabad,2015-03-26,83.4,157.54,33.44,20.55,18.91,1.58,28.87,3.84,4.99,3.61,177.0,Moderate,West
Ahmedabad,2015-03-27,79.8,174.23,31.29,19.17,19.53,1.86,20.67,1.67,13.51,2.34,165.0,Moderate,West
Ahmedabad,2015-03-28,84.6,170.9,23.98,12.71,9.82,1.41,7.66,1.99,9.72,,182.0,Moderate,West
Ahmedabad,2015-03-29,91.7,134.51,35.02,21.45,16.73,1.52,25.12,3.6,7.83,2.46,203.0,Poor,West
Ahmedabad,2015-03-30,103.6,177.4,31.35,20.52,5.92,3.48,18.27,5.67,6.0,3.83,244.0,Poor,West
Ahmedabad,2015-03-31,,166.21,44.97,39.99,16.43,3.02,43.79,5.55,18.67,2.4,266.0,Poor,West
Ahmedabad,2015-04-01,90.1,175.15,,26.18,13.34,2.68,57.67,2.46,7.93,1.49,500.0,Severe,West
Ahmedabad,2015-04-02,112.5,182.24,51.32,14.97,24.55,2.96,30.28,7.33,7.79,2.87,274.0,Poor,West
Ahmedabad,2015-04-03,53.4,119.13,20.43,11.95,5.09,0.77,15.01,3.04,6.83,,89.0,Satisfactory,West
Ahmedabad,2015-04-04,52.6,117.97,7.16,14.36,7.55,0.91,12.39,2.16,7.2,,87.0,Satisfactory,West
Ahmedabad,2015-04-05,,139.89,30.9,17.24,13.03,2.08,45.6,3.15,12.95,1.75,246.0,Poor,West
Ahmedabad,2015-04-06,,217.76,41.48,30.6,23.89,1.96,37.52,3.56,6.86,2.06,,,West
Ahmedabad,2015-04-07,74.8,183.22,32.76,15.27,17.85,2.5,45.56,2.16,11.86,3.73,148.0,Moderate,West
Ahmedabad,2015-04-08,78.6,155.21,29.44,,18.55,1.73,21.96,2.71,13.01,0.0,161.0,Moderate,West
Ahmedabad,2015-04-09,89.5,176.52,31.51,10.17,15.68,1.76,38.13,1.59,1.4,0.84,198.0,Moderate,West
Ahmedabad,2015-04-10,,118.07,34.62,28.64,1.46,1.35,,2.61,13.66,1.5,164.0,Moderate,West
Ahmedabad,2015-04-11,77.8,127.4,31.1,23.69,9.52,2.08,24.69,1.03,10.71,1.57,158.0,Moderate,West
Ahmedabad,2015-04-12,102.2,199.17,45.0,16.08,8.3,1.85,14.3,1.61,6.21,0.81,239.0,Poor,West
Ahmedabad,2015-04-13,78.9,161.5,28.78,11.85,8.06,1.82,25.59,2.97,5.09,2.29,162.0,Moderate,West
Ahmedabad,2015-04-14,90.9,148.94,33.78,10.96,16.84,,44.51,3.05,10.5,2.8,500.0,Severe,West
Ahmedabad,2015-04-15,60.9,125.26,25.42,13.63,7.46,1.35,13.08,1.45,7.39,1.43,500.0,Severe,West
Ahmedabad,2015-04-16,78.2,182.78,31.99,17.57,13.83,2.58,,,7.46,0.99,160.0,Moderate,West
Ahmedabad,2015-04-17,77.1,171.69,,24.71,9.58,1.44,36.08,3.11,5.58,0.64,156.0,Moderate,West
Ahmedabad,2015-04-18,,179.33,52.82,17.53,13.77,1.17,18.42,2.49,16.18,,234.0,Poor,West
Ahmedabad,2015-04-19,91.5,207.03,,23.76,11.73,2.41,32.1,4.24,7.19,2.52,203.0,Poor,West
Ahmedabad,2015-04-20,82.0,159.14,22.32,21.58,13.68,1.24,31.27,3.35,13.28,2.27,,,West
Ahmedabad,2015-04-21,85.2,170.02,33.02,19.62,10.34,1.71,37.06,3.82,11.05,2.36,,,West
Ahmedabad,2015-04-22,93.0,227.28,40.59,32.76,20.07,2.1,25.31,2.81,10.45,1.89,208.0,Poor,West
Ahmedabad,2015-04-23,,106.1,23.12,12.19,2.99,1.66,31.35,2.81,0.35,1.34,103.0,Moderate,West
Ahmedabad,2015-04-24,80.3,194.39,52.04,19.34,,1.99,22.13,1.89,12.12,2.58,167.0,Moderate,West
Ahmedabad,2015-04-25,71.1,94.28,11.82,,8.58,1.21,29.58,2.39,0.72,2.9,135.0,Moderate,West
Ahmedabad,2015-04-26,40.2,63.89,10.75,9.39,2.7,0.88,10.75,1.63,0.0,0.74,66.0,Satisfactory,West
Ahmedabad,2015-04-27,82.0,,37.11,21.31,12.84,,38.12,3.41,,1.4,173.0,Moderate,West
Ahmedabad,2015-04-28,59.5,130.18,20.59,20.47,14.69,1.01,14.38,2.57,,1.41,99.0,Satisfactory,West
Ahmedabad,2015-04-29,79.4,179.06,26.9,14.16,3.96,0.85,17.68,2.43,11.66,2.49,164.0,Moderate,West
Ahmedabad,2015-04-30,77.5,153.4,50.71,11.96,10.18,1.84,15.81,2.41,2.94,1.55,157.0,Moderate,West
Ahmedabad,2015-05-01,89.9,,55.96,30.76,6.26,1.27,50.91,3.1,,3.19,199.0,Moderate,West
Ahmedabad,2015-05-02,90.1,191.19,36.19,24.95,13.04,1.18,39.87,,15.17,1.52,500.0,Severe,West
Ahmedabad,2015-05-03,67.1,97.54,28.33,21.52,10.53,1.26,16.87,1.45,9.57,0.94,122.0,Moderate,West
Ahmedabad,2015-05-04,43.5,128.91,,,4.81,,8.48,1.13,5.62,0.59,72.0,Satisfactory,West
Ahmedabad,2015-05-05,54.6,102.66,21.34,12.17,7.13,1.28,14.21,2.23,4.36,1.23,91.0,Satisfactory,West
Ahmedabad,2015-05-06,60.9,,27.53,19.3,9.56,0.83,10.3,3.03,7.81,1.58,500.0,Severe,West
Ahmedabad,2015-05-07,78.8,176.99,34.15,26.84,18.17,2.36,37.07,2.99,8.7,2.6,162.0,Moderate,West
Ahmedabad,2015-05-08,61.0,123.36,21.78,14.33,6.26,1.23,18.52,3.26,10.04,1.89,101.0,Moderate,West
Ahmedabad,2015-05-09,49.5,93.56,21.55,9.11,7.69,1.16,5.36,2.17,4.11,,82.0,Satisfactory,West
Ahmedabad,2015-05-10,68.9,112.59,29.85,16.65,10.04,0.97,17.8,,8.18,2.37,128.0,Moderate,West
Ahmedabad,2015-05-11,73.1,130.62,27.44,19.72,14.81,1.53,33.44,0.79,5.96,2.39,142.0,Moderate,West
Ahmedabad,2015-05-12,,,17.33,9.26,1.55,1.04,24.17,1.2,3.17,,62.0,Satisfactory,West
Ahmedabad,2015-05-13,74.6,175.28,35.83,16.51,14.86,1.06,39.53,4.28,6.63,3.36,147.0,Moderate,West
Ahmedabad,2015-05-14,77.1,157.28,29.61,22.83,8.62,2.39,21.52,5.85,9.44,0.62,156.0,Moderate,West
Ahmedabad,2015-05-15,80.2,154.1,17.97,30.17,22.61,,36.35,3.49,11.09,1.63,166.0,Moderate,West
Ahmedabad,2015-05-16,64.4,108.57,23.05,8.41,10.57,1.22,25.39,2.42,0.0,1.62,113.0,Moderate,West
Ahmedabad,2015-05-17,73.7,111.52,,13.52,10.29,1.29,6.93,1.27,8.67,1.84,144.0,Moderate,West
Ahmedabad,2015-05-18,91.1,186.71,21.95,,17.94,,43.96,3.76,6.09,2.54,201.0,Poor,West
Ahmedabad,2015-05-19,56.9,91.25,,16.46,8.13,1.0,25.14,1.88,3.74,1.54,95.0,Satisfactory,West
Ahmedabad,2015-05-20,60.6,158.29,31.31,18.19,3.41,1.61,29.86,0.6,4.1,0.91,500.0,Severe,West
Ahmedabad,2015-05-21,74.6,180.23,25.58,11.72,2.72,,19.22,1.92,8.04,2.33,148.0,Moderate,West
Ahmedabad,2015-05-22,64.7,118.82,26.47,11.68,7.87,1.29,30.35,3.28,4.38,1.57,114.0,Moderate,West
Ahmedabad,2015-05-23,69.6,118.21,22.63,18.48,10.44,,13.43,0.61,6.93,1.85,130.0,Moderate,West
Ahmedabad,2015-05-24,49.7,98.97,16.25,4.84,7.13,0.89,14.32,2.1,7.66,,83.0,Satisfactory,West
Ahmedabad,2015-05-25,56.5,85.28,27.41,13.77,5.91,1.03,32.5,2.9,9.2,2.07,94.0,Satisfactory,West
Ahmedabad,2015-05-26,63.4,109.34,27.36,18.22,8.77,1.48,27.96,,9.77,1.24,,,West
Ahmedabad,2015-05-27,45.9,115.28,20.85,10.06,2.31,1.2,19.81,1.45,5.82,1.88,76.0,Satisfactory,West
Ahmedabad,2015-05-28,46.2,,14.9,7.17,6.03,1.41,11.47,,1.67,1.4,77.0,Satisfactory,West
Ahmedabad,2015-05-29,50.4,95.72,25.91,9.62,8.33,1.19,19.87,0.98,5.88,1.1,84.0,Satisfactory,West
Ahmedabad,2015-05-30,56.3,108.08,13.75,9.22,,1.5,4.75,1.87,4.75,1.58,94.0,Satisfactory,West
Ahmedabad,2015-05-31,51.2,86.08,14.18,9.14,7.66,1.06,13.98,,9.85,0.63,85.0,Satisfactory,West
Ahmedabad,2015-06-01,64.0,131.63,34.19,12.83,12.46,,20.93,2.47,7.41,0.84,111.0,Moderate,West
Ahmedabad,2015-06-02,58.5,143.33,17.42,16.03,11.43,1.25,19.1,2.12,3.67,1.26,97.0,Satisfactory,West
Ahmedabad,2015-06-03,75.6,151.31,31.87,13.07,12.43,1.12,25.07,0.0,8.25,1.96,151.0,Moderate,West
Ahmedabad,2015-06-04,49.7,93.32,17.32,14.35,5.8,1.52,28.15,1.84,9.1,2.06,83.0,Satisfactory,West
Ahmedabad,2015-06-05,61.3,108.46,28.12,15.72,7.16,2.12,27.76,1.02,7.84,1.51,102.0,Moderate,West
Ahmedabad,2015-06-06,61.5,103.94,,,12.27,0.99,17.79,2.84,4.44,1.79,103.0,Moderate,West
Ahmedabad,2015-06-07,55.9,85.24,17.08,11.27,6.93,0.67,18.46,0.01,6.69,1.58,,,West
Ahmedabad,2015-06-08,48.6,99.92,18.16,10.26,6.36,1.0,13.85,1.95,8.81,1.44,81.0,Satisfactory,West
Ahmedabad,2015-06-09,54.1,130.63,29.25,16.42,8.93,1.32,24.67,2.98,4.05,1.21,90.0,Satisfactory,West
Ahmedabad,2015-06-10,64.9,134.48,27.87,19.65,6.27,1.8,14.85,1.95,2.06,1.2,114.0,Moderate,West
Ahmedabad,2015-06-11,61.2,128.4,24.13,16.61,10.2,0.9,31.67,2.78,2.3,,102.0,Moderate,West
Ahmedabad,2015-06-12,,89.98,15.0,6.67,6.28,0.88,10.43,1.62,9.55,0.82,87.0,Satisfactory,West
Ahmedabad,2015-06-13,51.7,97.3,26.78,11.14,7.34,1.19,18.9,,3.11,,86.0,Satisfactory,West
Ahmedabad,2015-06-14,49.4,68.93,16.44,11.74,7.12,0.92,3.95,1.65,1.89,1.29,82.0,Satisfactory,West
Ahmedabad,2015-06-15,58.1,108.77,16.18,18.68,9.22,0.9,33.25,2.13,4.45,2.13,,,West
Ahmedabad,2015-06-16,62.0,137.63,27.65,9.89,5.59,1.18,4.62,2.52,6.45,1.53,104.0,Moderate,West
Ahmedabad,2015-06-17,,116.87,30.04,10.94,14.4,1.03,43.76,1.41,8.51,2.08,129.0,Moderate,West
Ahmedabad,2015-06-18,62.1,106.31,18.34,12.82,11.11,1.34,32.02,1.4,5.94,1.43,105.0,Moderate,West
Ahmedabad,2015-06-19,,116.08,28.76,10.34,6.31,1.23,21.34,2.8,,1.13,87.0,Satisfactory,West
Ahmedabad,2015-06-20,70.1,127.59,29.51,7.53,8.17,1.72,22.44,2.08,0.97,1.34,132.0,Moderate,West
Ahmedabad,2015-06-21,65.1,113.07,26.02,12.01,7.06,1.22,23.94,2.69,7.9,1.11,115.0,Moderate,West
Ahmedabad,2015-06-22,55.0,90.89,24.59,5.29,3.74,1.26,24.07,0.9,7.43,1.21,91.0,Satisfactory,West
Ahmedabad,2015-06-23,63.5,157.88,,24.04,12.08,1.62,19.86,2.82,8.01,2.18,110.0,Moderate,West
Ahmedabad,2015-06-24,56.0,124.07,27.99,5.68,7.3,1.22,17.21,3.05,,1.45,93.0,Satisfactory,West
Ahmedabad,2015-06-25,53.8,111.92,13.84,9.57,5.44,1.45,,1.88,5.4,1.13,90.0,Satisfactory,West
Ahmedabad,2015-06-26,,149.29,40.88,13.66,,1.97,27.59,3.33,14.1,1.89,138.0,Moderate,West
Ahmedabad,2015-06-27,55.8,91.89,20.6,12.3,8.01,1.11,6.51,2.88,5.33,2.04,93.0,Satisfactory,West
Ahmedabad,2015-06-28,44.2,70.9,14.98,7.9,6.09,1.08,20.96,1.07,2.96,1.25,73.0,Satisfactory,West
Ahmedabad,2015-06-29,41.9,94.1,16.56,8.73,0.09,0.98,,0.7,5.1,1.26,69.0,Satisfactory,West
Ahmedabad,2015-06-30,46.7,101.44,24.01,11.82,8.03,0.93,22.27,0.38,6.79,1.81,78.0,Satisfactory,West
Ahmedabad,2015-07-01,44.5,80.25,26.26,11.92,2.99,,4.99,1.44,4.75,1.4,74.0,Satisfactory,West
Ahmedabad,2015-07-02,51.6,,22.3,5.3,9.03,,17.31,2.74,7.66,0.7,86.0,Satisfactory,West
Ahmedabad,2015-07-03,53.7,134.63,23.01,7.92,8.81,1.05,19.6,1.1,6.68,0.92,89.0,Satisfactory,West
Ahmedabad,2015-07-04,58.6,122.13,21.88,8.54,5.28,1.13,20.21,1.37,4.89,1.54,98.0,Satisfactory,West
Ahmedabad,2015-07-05,60.9,105.41,25.05,12.4,8.27,0.9,,3.01,6.51,1.5,500.0,Severe,West
Ahmedabad,2015-07-06,42.8,91.74,8.74,12.28,9.26,0.78,13.93,2.2,2.91,1.27,71.0,Satisfactory,West
Ahmedabad,2015-07-07,44.0,97.46,17.36,1.84,4.01,0.92,,1.41,3.22,1.22,73.0,Satisfactory,West
Ahmedabad,2015-07-08,22.6,54.94,10.96,4.6,4.08,0.53,7.71,1.01,2.35,0.59,38.0,Good,West
Ahmedabad,2015-07-09,55.8,107.39,22.69,8.69,4.42,0.59,23.02,1.72,2.83,1.08,93.0,Satisfactory,West
Ahmedabad,2015-07-10,41.0,85.93,21.46,13.76,5.58,0.84,,0.51,7.09,1.07,68.0,Satisfactory,West
Ahmedabad,2015-07-11,60.9,75.69,21.31,5.95,1.79,0.82,32.2,1.19,8.73,1.08,500.0,Severe,West
Ahmedabad,2015-07-12,61.8,118.07,29.32,10.8,8.27,1.17,38.11,,5.3,,104.0,Moderate,West
Ahmedabad,2015-07-13,69.8,128.64,31.36,14.83,4.51,1.59,0.0,2.6,7.36,1.62,131.0,Moderate,West
Ahmedabad,2015-07-14,48.6,92.68,11.69,6.76,6.85,,23.5,1.37,2.71,0.98,81.0,Satisfactory,West
Ahmedabad,2015-07-15,30.5,63.86,14.64,10.22,4.82,0.44,7.94,1.01,,0.3,500.0,Severe,West
Ahmedabad,2015-07-16,45.0,105.02,20.64,13.55,4.69,1.37,18.42,1.91,4.73,0.0,75.0,Satisfactory,West
Ahmedabad,2015-07-17,63.0,,19.71,24.51,9.12,,13.81,,1.87,1.17,108.0,Moderate,West
Ahmedabad,2015-07-18,49.3,92.6,9.59,7.63,3.42,1.15,19.15,0.21,3.96,1.71,82.0,Satisfactory,West
Ahmedabad,2015-07-19,57.2,93.99,22.59,14.45,11.32,0.91,27.03,1.32,3.83,,95.0,Satisfactory,West
Ahmedabad,2015-07-20,52.0,118.02,21.3,10.57,5.24,1.32,19.0,2.12,6.61,2.12,86.0,Satisfactory,West
Ahmedabad,2015-07-21,60.7,,24.54,8.98,7.28,1.28,15.89,2.74,6.76,0.8,500.0,Severe,West
Ahmedabad,2015-07-22,63.0,136.98,27.12,20.05,6.57,1.11,19.42,2.8,7.81,3.88,108.0,Moderate,West
Ahmedabad,2015-07-23,41.8,86.39,16.39,11.36,7.85,0.97,17.27,1.26,7.83,0.77,69.0,Satisfactory,West
Ahmedabad,2015-07-24,22.1,41.07,14.82,3.42,3.72,0.36,9.44,1.19,1.9,0.87,37.0,Good,West
Ahmedabad,2015-07-25,60.6,110.2,21.26,11.55,5.31,0.74,,2.14,6.61,1.86,500.0,Severe,West
Ahmedabad,2015-07-26,50.6,105.36,10.71,15.89,6.13,0.73,14.79,2.65,3.26,1.08,84.0,Satisfactory,West
Ahmedabad,2015-07-27,41.4,89.59,22.84,10.8,5.21,,15.58,1.86,6.22,0.48,69.0,Satisfactory,West
Ahmedabad,2015-07-28,46.5,115.56,21.98,11.66,8.54,0.3,21.27,,,1.27,77.0,Satisfactory,West
Ahmedabad,2015-07-29,48.1,84.04,17.69,14.64,8.3,0.77,12.93,1.25,5.58,1.04,80.0,Satisfactory,West
Ahmedabad,2015-07-30,50.5,86.5,29.84,13.22,5.95,0.83,15.4,2.78,9.17,0.83,84.0,Satisfactory,West
Ahmedabad,2015-07-31,47.2,72.22,,11.79,6.06,0.91,13.64,1.95,5.4,1.72,78.0,Satisfactory,West
Ahmedabad,2015-08-01,75.5,109.87,18.62,22.86,9.05,1.72,,1.21,9.63,0.58,150.0,Moderate,West
Ahmedabad,2015-08-02,64.9,126.7,19.18,19.41,9.45,1.12,20.6,0.26,2.38,1.84,114.0,Moderate,West
Ahmedabad,2015-08-03,53.7,133.69,24.81,8.27,4.94,0.88,14.83,2.07,8.91,1.69,89.0,Satisfactory,West
Ahmedabad,2015-08-04,63.6,137.6,23.91,8.91,11.18,1.33,30.15,1.67,11.92,2.78,110.0,Moderate,West
